GameID,Champion,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
59588,Sejuani,Sylvie,JUNGLE,13,1,3,6,2.3,146,141,,5.6,8156,311,18.6%,22,8,4,6,6,0.84,0.3,0.23,0.15,11.9%,11651,6472,4919,260,444,18%,0.27,77.8%,,0,0,0,0,-410,-5,-425,-1,0,0,0,14368,351,38835,0,29,356,41186,112,7,19,250,0
59588,Corki,Fisher,MID,15,3,5,3,1.2,247,8,,9.4,11360,432,25.9%,28,11,7,4,4,1.07,0.42,0.15,0.27,15.1%,18426,12844,3538,2044,701,28.5%,0.23,66.7%,1,0,0,0,0,237,0,-45,0,0,2982,2982,5283,0,9957,0,1,20,22734,158,5,24,1050,0
59588,Xayah,Jiwoo,ADC,13,1,5,2,0.6,231,4,,8.8,9427,359,21.5%,25,9,6,3,2,0.95,0.34,0.11,0.23,13.5%,12573,12061,0,512,479,19.5%,0.11,33.3%,,0,0,0,0,-231,-8,488,0,0,932,932,5530,0,7976,0,18,73,21028,93,4,20,0,0
59588,Rakan,GuGer,SUPPORT,10,2,6,2,0.7,26,0,,1,6125,233,14%,88,51,9,10,8,3.35,1.94,0.38,0.34,47.6%,4857,954,3903,0,185,7.5%,0.15,44.4%,,0,0,0,0,-22,-5,-512,-1,0,0,0,6279,2620,15909,1732,21,48,22835,138,12,25,0,50
59591,Skarner,Morgan,TOP,17,0,4,2,0.5,278,0,,8.3,11227,335,19.5%,43,14,12,10,9,1.28,0.42,0.3,0.36,15.1%,15499,9553,5886,60,462,22.9%,0.06,33.3%,,0,0,0,0,375,7,519,0,0,0,0,1295,0,62519,0,35,707,27265,136,11,28,0,0
59591,Taliyah,YoungJae,JUNGLE,16,1,3,5,2,257,229,,7.7,11491,343,20%,83,34,18,14,13,2.48,1.01,0.42,0.54,29.1%,14271,420,13093,758,426,21.1%,0.18,100%,,0,0,0,0,481,27,1147,1,1,0,0,7528,0,8855,0,29,842,18139,125,15,32,0,50
59591,Hwei,Karis,MID,17,2,4,2,1,316,0,,9.4,12863,384,22.4%,24,11,4,7,7,0.72,0.33,0.21,0.12,8.4%,14077,354,13687,36,420,20.8%,0.12,66.7%,,0,0,0,0,-262,-8,62,0,0,0,0,1750,0,11925,234,20,1201,16214,88,9,27,650,50
59591,Ezreal,Envyy,ADC,16,1,3,2,1,358,8,,10.7,14380,429,25%,20,9,6,4,4,0.6,0.27,0.12,0.18,7%,20048,15187,4601,260,598,29.6%,0.09,50%,,0,0,0,0,1119,12,261,0,0,4927,4927,4233,0,14613,0,1,110,14728,69,5,22,0,100
59591,Nautilus,Pollu,SUPPORT,12,2,5,4,1.2,30,0,,0.9,7536,225,13.1%,115,69,11,20,20,3.43,2.06,0.6,0.33,40.4%,3731,642,2139,950,111,5.5%,0.18,100%,,0,0,0,0,607,1,-318,0,0,134,134,733,0,18217,0,23,108,17893,92,22,37,0,0
59591,K,Clear,TOP,18,3,1,5,8,287,0,,8.6,14226,424,20.1%,37,11,9,6,6,1.1,0.33,0.18,0.27,11.3%,9308,8161,769,378,278,12.1%,0.24,42.1%,,0,0,0,0,-375,-7,-519,0,0,3308,3308,1395,0,45063,236,21,2275,18365,32,7,24,0,0
59591,Xin Zhao,Raptor,JUNGLE,17,8,1,7,15,233,199,,6.9,14088,420,19.9%,64,12,24,10,10,1.91,0.36,0.3,0.72,19.6%,17120,14621,1445,1054,511,22.2%,0.45,78.9%,,1,0,0,0,-481,-27,-1147,-1,0,2331,2331,34829,0,30393,0,19,690,45216,21,11,28,100,0
59591,Azir,Clozer,MID,18,5,1,10,15,372,12,,11.1,17904,534,25.3%,43,13,15,4,4,1.28,0.39,0.12,0.45,13.2%,25326,132,24935,259,755,32.9%,0.45,78.9%,,1,0,0,0,262,8,-62,0,0,10203,10203,4898,0,15958,0,13,189,18191,59,7,27,0,650
59591,Ashe,Hena,ADC,18,3,0,10,Perfect KDA,334,9,,10,15325,457,21.6%,60,19,14,7,7,1.79,0.57,0.21,0.42,18.4%,21095,17858,3173,64,629,27.4%,0.39,68.4%,,1,0,0,0,-1119,-12,-261,0,0,7593,7593,5486,0,9383,0,41,701,11227,0,8,26,100,0
59591,Rell,Duro,SUPPORT,13,0,3,17,5.7,32,0,,1,9322,278,13.2%,122,59,16,22,21,3.64,1.76,0.66,0.48,37.4%,4214,694,2786,734,126,5.5%,0.51,89.5%,,0,0,0,0,-607,-1,318,0,0,0,0,1217,108,14483,0,31,62,13645,43,24,41,0,0
59594,Gragas,kingen,TOP,18,4,3,5,3,306,4,,6.3,16394,339,18.7%,56,19,14,17,15,1.16,0.39,0.35,0.29,13%,19610,1494,17326,790,406,18.5%,0.19,56.3%,,0,0,0,0,331,-2,275,0,0,414,414,24050,0,85845,0,58,1438,49928,107,22,38,100,50
59594,Vi,Lucid,JUNGLE,18,2,4,6,2,253,219,,5.2,15921,330,18.1%,89,31,26,31,29,1.84,0.64,0.64,0.54,20.6%,9377,8897,106,374,194,8.9%,0.17,50%,,0,0,0,0,291,-19,227,0,0,1890,1890,19883,0,77646,0,24,347,49678,198,34,56,650,0
59594,Taliyah,ShowMaker,MID,18,5,2,8,6.5,413,18,,8.5,20332,421,23.2%,56,31,10,12,12,1.16,0.64,0.25,0.21,13%,27120,452,24183,2485,561,25.6%,0.27,81.3%,,0,0,0,0,-332,0,-57,0,0,2880,2880,5661,1172,17761,0,27,533,21656,45,17,37,300,450
59594,Zeri,Aiming,ADC,18,5,3,8,4.3,515,28,,10.7,23440,485,26.7%,55,17,25,6,6,1.14,0.35,0.12,0.52,12.8%,44242,28243,11402,4597,916,41.8%,0.27,81.3%,,1,0,0,0,937,22,512,1,0,15018,15018,13183,0,25892,0,12,291,30000,104,12,34,100,650
59594,Lulu,Kellin,SUPPORT,16,0,1,13,13,29,0,,0.6,11651,241,13.3%,175,103,15,16,28,3.62,2.13,0.33,0.31,40.6%,5422,493,4295,634,112,5.1%,0.27,81.3%,,0,0,0,0,137,-3,308,0,0,924,924,9730,5929,8419,8236,20,179,14178,27,33,50,0,0
